START_ID,END_ID,round,date
348,6067,A轮,2017-08-25
349,5522,C轮,2010-11-05
349,5522,C轮,2010-11-05
350,6129,A轮,2018-09-30
351,5913,D轮,2015-09-24
351,5968,C轮,2016-10-10
351,5362,C轮,2017-10-10
351,5415,,2018-08-22
351,5968,C轮,2016-10-10
352,5817,A轮,2014-09-11
353,11857,A轮,2018-11-12
354,6316,C轮,2017-11-21
354,5721,B轮,2013-07-23
354,14952,A轮,2015-09-30
355,6585,新三板定增,2016-06-08
355,6619,新三板定增,2016-04-26
355,6679,新三板定增,2016-01-22
355,12080,新三板定增,2016-12-30
355,12085,新三板定增,2016-12-15
355,11357,新三板定增,2016-05-26
355,5752,新三板定增,2016-05-23
355,11641,新三板定增,2016-02-01
355,15433,新三板定增,2016-01-28
355,5667,新三板定增,2016-01-22
356,15253,A轮,2018-03-23
357,11848,天使轮,2017-08-01
358,5944,A轮,2016-12-01
359,15140,IPO轮,2017-07-05
360,5520,天使轮,2010-05-27
361,5431,上市定增,2018-06-21
362,11837,天使轮,2017-10-12
362,5415,,2018-08-13
362,11926,C轮,2018-05-01
362,6694,新三板定增,2018-11-14
362,5733,C轮,2018-09-10
362,11675,B轮,2018-08-23
363,10745,C+轮,2019-05-29
364,11562,天使轮,2016-12-01
365,6258,IPO轮,2018-05-19
366,11899,,2018-11-29
367,6223,B轮,2017-02-01
368,12216,新三板定增,2016-02-26
369,5413,新三板定增,2018-08-09
369,5725,A轮,2013-12-24
369,5725,A轮,2013-12-24
370,5525,上市定增,2015-12-29
371,10116,定向增发,2016-03-10
372,6114,B轮,2018-11-09
372,11856,A轮,2018-11-26
372,11864,A轮,2018-09-28
373,6075,新三板定增,2017-08-10
374,6513,IPO轮,2016-10-11
374,10275,IPO轮,2017-09-27
374,10408,IPO轮,2017-09-11
374,5992,IPO轮,2016-08-26
374,12468,IPO轮,2017-04-26
374,15429,IPO轮,2016-02-02
375,5399,新三板定增,2017-01-13
376,6267,A轮,2018-05-03
376,5370,A+轮,2017-11-13
376,11089,A轮,2018-05-28
377,11224,E轮,2010-10-28
378,5464,B轮,2009-12-30
378,5464,B轮,2009-12-30
378,5464,C轮,2010-12-30
379,10361,上市定增,2018-07-27
380,11882,A轮,2018-06-06
381,11231,上市定增,2011-06-23
381,6096,上市定增,2011-11-11
381,10331,上市定增,2011-01-28
382,5489,E轮,2011-08-19
383,10722,新三板定增,2017-07-27
384,11825,A轮,2017-11-14
385,6402,新三板定增,2017-04-13
386,11897,天使轮,2018-12-13
387,6113,新三板定增,2018-11-14
388,11823,A轮,2017-11-28
389,5360,,2015-10-10
390,11574,B轮,2019-05-25
391,14973,新三板定增,2017-03-24
392,6249,天使轮,2015-08-01
393,5431,IPO轮,2018-07-17
394,5505,IPO轮,2018-03-27
395,15415,新三板定增,2016-04-08
396,5964,新三板定增,2016-10-19
397,5823,D轮,2019-08-14
397,10722,新三板定增,2017-07-27
398,6021,新三板定增,2017-12-07
399,5731,A轮,2016-12-19
399,11819,B轮,2017-12-05
400,6306,新三板定增,2017-12-28
400,6113,新三板定增,2016-02-03
401,12048,新三板定增,2017-03-13
402,15080,A轮,2019-07-08
403,5606,上市定增,2011-09-05
403,5606,上市定增,2011-09-05
403,5443,C轮,2010-08-30
403,11721,上市定增,2013-12-19
404,5410,B轮,2018-06-29
404,6267,天使轮,2016-12-15
404,5410,天使轮,2016-09-10
404,5819,B轮,2017-11-01
404,5819,B+轮,2017-11-01
